office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11660993,A.Konduru S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,125,0,22,0,0,0,147,115
11660628,A.P.High Court S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,108,20,20,127.44,0,0,0.56,911
11660628,A.P.High Court S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1166,27646,10590,4965.39,63475.74,150,546,14124.19,31273
11660628,A.P.High Court S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,90,0,16,0,0,0,106,930
11660629,A.P.Secretariat S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,12,140,0,26,0,0,456,166,4866
11660629,A.P.Secretariat S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,246,6351,30,1138.54,0,105,6903,7234.54,8174
11660629,A.P.Secretariat S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,7,1240,0,222,0,0,0,1462,14558
11660630,A.T.Agraharam(Guntur) S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,21,980,40,174,0,0,0,1154,410
11660778,AP Genco Nelatur SO,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,36,0,6.55,0,0,104,0.55,1162
11660778,AP Genco Nelatur SO,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,115,0,20,0,0,0,135,114
11660555,APIIIT S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,9,200,0,34,0,10,0,224,360
11661207,APSP Camp S.O (East Godavari),2026-04-01T00:00:00+05:30,Indiapost parcel Retail,5,385,5,70,0,0,200,455,11580
11661207,APSP Camp S.O (East Godavari),2026-04-01T00:00:00+05:30,Inland Speed Post Document,45,1872,160,336.48,0,0,1304,1385.48,2417
11661207,APSP Camp S.O (East Godavari),2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,19,2790,0,504,0,0,0,3294,43600
11660995,APUHS SO,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,0,0,0,0,0,45,0,195
11660995,APUHS SO,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,35,0,195
11108222,AS Kaviti BO,2026-04-01T00:00:00+05:30,Inland Speed Post Document,6,118,0,20,0,300,0,138,280
11660380,AVILALA SO,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,125,10,22,0,0,0,147,110
11660631,Abbineniguntapalem S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,20
11105331,Adavikolanu B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,10
11660833,Addanki S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,18,900,0,162,0,81,0,1062,12496
11660833,Addanki S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,20,750,40,132,0,70,0,882,911
11660833,Addanki S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,16,1490,0,270,0,0,0,1760,27798
11661203,Addatigala S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,88,0,16,0,0,0,104,1062
11661203,Addatigala S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,104,0,20,0,0,62,62,92
11661203,Addatigala S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,110,0,20,0,0,0,130,2284
11661295,Adikavi Nannayya University Campus S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,216,0,38,0,0,0,254,4968
11660222,Adoni Arts College S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,52,0,10,0,0,0,62,960
11660222,Adoni Arts College S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,6,226,20,40,0,125,0,266,550
11360009,Adoni H.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,11,1366,10,246,0,0,0,1612,31942
11360009,Adoni H.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,127,4845,820,862,0,1309,150,5697,5511
11360009,Adoni H.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,56,5250,30,950,0,80,0,6200,86223
11660223,Adoni town S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,24,57,240,10,0,1508,0,67,705
11106439,Adurru B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,171,0,30,0,0,0,201,60
11660169,Agali S.O (Ananthapur),2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,160,0,30,0,0,0,190,2740
11661424,Aganampudi S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,5,530,0,92,0,0,0,622,20436
11102584,Agraharam B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,5,47,0,8,0,268,0,55,100
11105332,Ajjaram B.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,3,236,0,44,0,0,0,280,3990
11105332,Ajjaram B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,22
11100411,Akanambattu B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,20
11660449,Akividu S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,12,768,0,138,0,0,0,906,14573
11660449,Akividu S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,5,237,10,42,0,0,0,279,79
11660449,Akividu S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,14,1285,0,230,0,0,0,1515,22789
11661425,Akkayyapalem S.O,2026-04-01T00:00:00+05:30,Gyan Post,7,155,0,28,0,0,0,183,1910
11661425,Akkayyapalem S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,14,616,0,112,0,0,0,728,6832
11661425,Akkayyapalem S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,52,2398,100,428,0,26,55,2826,3151
11661425,Akkayyapalem S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,10,1170,0,214,0,70,0,1384,18266
11100790,Akkireddygaripalli B.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,52,0,10,0,0,0,62,870
11100790,Akkireddygaripalli B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,150,0,28,0,0,0,178,680
11661359,Akkupalli S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,2,47,0,8,0,0,0,55,50
11661359,Akkupalli S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,300,0,54,0,0,0,354,4450
11660994,Akunuru S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,59,0,10,0,0,0,69,135
11660994,Akunuru S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,145,0,26,0,0,0,171,1820
11661488,Alamanda R S S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,68,0,12,0,0,0,80,65
11661296,Alamuru S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,36,0,6.55,0,106,0,0.55,760
11660450,Alamuru S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,12,828,120,150,0,0,0,978,660
11661296,Alamuru S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,11,336,90,62,0,326,0,398,438
11661296,Alamuru S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,385,0,68,0,0,0,453,10389
11661297,Alcot Gardens S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,1,36,0,6,0,0,0,42,490
11661297,Alcot Gardens S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,15
11660283,Allagadda MDG S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,3,252,0,46,0,60,0,238,5230
11660283,Allagadda MDG S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,102,1993,860,354.4,0,3425,0,2212.4,4081
11660283,Allagadda MDG S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,14,1910,0,344,0,0,0,2254,29782
11105334,Allampuram B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,50
11661119,Allavaram S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,205,0,38,0,0,0,243,4020
11660773,Allur S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,1,125,0,22,0,0,0,147,2635
11100792,Allwyn Nagar B.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,18
11660224,Alur S.O (Kurnool),2026-04-01T00:00:00+05:30,Inland Speed Post Document,82,1184,640,206,70,3684,0,1385,1835
11660224,Alur S.O (Kurnool),2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,6,555,0,100,0,0,0,655,10408
11660170,Amadagur S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,130,0,24,0,0,0,154,1310
11360052,Amadalavalasa H.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,2,669,5,120,0,0,0,789,18602
11360052,Amadalavalasa H.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,144,2888,170,516.43,0,897,0,3349.43,4485
11360052,Amadalavalasa H.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,10,890,0,162,0,0,0,1052,12439
11360042,Amalapuram H.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,15,1441,5,260,0,0,0,1701,31441
11360042,Amalapuram H.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,92,2577,310,456,823.22,72,0,3028,4580
11360042,Amalapuram H.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,24,6340,0,1140,0,0,0,7480,144540
11660171,Amarapuram S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,2,190,0,34,0,0,0,224,3580
11660632,Amaravathi Road(Guntur) S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,8,480,0,86,0,0,0,566,8615
11660632,Amaravathi Road(Guntur) S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,141,0,26,0,0,0,167,80
11660633,Amaravathi S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,32,2097,5,376.66,0,302,0,2233.66,41082
11660633,Amaravathi S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,7,341,40,60,0,0,0,401,210
11660633,Amaravathi S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,5,580,0,104,0,0,0,684,7424
11660940,Amartaluru S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,3,122,0,22,0,70,0,144,605
11660940,Amartaluru S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,3,195,0,36,0,0,0,231,2160
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Indiapost parcel Retail,7,228,0,42,0,84,0,270,2736
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Inland Speed Post Document,21,609,180,108,0,498,0,717,150
11661121,Ambajipeta S.O,2026-04-01T00:00:00+05:30,Speed Post Parcel Domestic,5,550,0,100,0,0,0,650,11430
