Office ID,Office Name,Booking Date,Product Name,Walk-in Customer,Registered Bulk,On Postal Service,Govt Service,Walk-in Non-Commercial,Non-Commercial,Commercial,E-commerce,PIDPI,Student Mail,Others,Walk-in Commercial,Walk-in E-commerce,Bulk Non-Commercial,Bulk Commercial,Bulk E-commerce,BO Rebooking,Free Active Service,Inter FPO
-,Summary (All Offices),-,All Products,1159568,465071,153223,335,1389,53647,5422,25,6,19,719,0,0,98,0,0,0,0,0
11660993,A.Konduru S.O,01-04-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660628,A.P.High Court S.O,01-04-2026,All Products,1131,0,1,0,0,0,26,0,0,0,11,0,0,0,0,0,0,0,0
11660629,A.P.Secretariat S.O,01-04-2026,All Products,141,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660630,A.T.Agraharam(Guntur) S.O,01-04-2026,All Products,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660778,AP Genco Nelatur SO,01-04-2026,All Products,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660555,APIIIT S.O,01-04-2026,All Products,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661207,APSP Camp S.O (East Godavari),01-04-2026,All Products,53,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660995,APUHS SO,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11108222,AS Kaviti BO,01-04-2026,All Products,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660380,AVILALA SO,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660631,Abbineniguntapalem S.O,01-04-2026,All Products,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105331,Adavikolanu B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660833,Addanki S.O,01-04-2026,All Products,33,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661203,Addatigala S.O,01-04-2026,All Products,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661295,Adikavi Nannayya University Campus S.O,01-04-2026,All Products,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660222,Adoni Arts College S.O,01-04-2026,All Products,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11360009,Adoni H.O,01-04-2026,All Products,143,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660223,Adoni town S.O,01-04-2026,All Products,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11106439,Adurru B.O,01-04-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660169,Agali S.O (Ananthapur),01-04-2026,All Products,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661424,Aganampudi S.O,01-04-2026,All Products,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11102584,Agraharam B.O,01-04-2026,All Products,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11105332,Ajjaram B.O,01-04-2026,All Products,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100411,Akanambattu B.O,01-04-2026,All Products,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660449,Akividu S.O,01-04-2026,All Products,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661425,Akkayyapalem S.O,01-04-2026,All Products,74,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11100790,Akkireddygaripalli B.O,01-04-2026,All Products,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661359,Akkupalli S.O,01-04-2026,All Products,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660994,Akunuru S.O,01-04-2026,All Products,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661488,Alamanda R S S.O,01-04-2026,All Products,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
