office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11105523,A F Station B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,15
11661158,A Koduru S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,38,0,6,0,0,0,44,35
11661158,A Koduru S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,70,0,12,0,0,0,82,2125
11107194,A Kothapalli B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,68,0,12,0,0,0,80,610
11107195,A Mallavaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,10
11660772,A.C.Nagar S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,10,536,0,96,0,0,0,632,7930
11660772,A.C.Nagar S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,135,10,24,0,0,0,159,210
11660993,A.Konduru S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,68,0,12,0,0,0,80,1026
11660993,A.Konduru S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,20
11660628,A.P.High Court S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,495,3947,4790,710,32444.1,0,100,655.92,12942
11660629,A.P.Secretariat S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,11,0,0,0,0,46,527,0,5130
11660629,A.P.Secretariat S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,64,1594,0,287.13,0,5,2027,1744.13,1820
11660629,A.P.Secretariat S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,4,660,0,120,0,0,0,780,7960
11103189,A.Polavaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,63,0,12,0,0,0,75,160
11660630,A.T.Agraharam(Guntur) S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,36,0,6,0,0,0,42,360
11660630,A.T.Agraharam(Guntur) S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,12,522,30,92,0,0,0,614,270
11106437,A.Vemavaram B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,6,312,0,54,0,0,0,366,3585
11106437,A.Vemavaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,141,0,24,0,0,0,165,65
11660778,AP Genco Nelatur SO,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,0,0,0,0,0,43,0,118
11660778,AP Genco Nelatur SO,2026-06-01T00:00:00+05:30,Inland Speed Post Document,4,94,0,16,0,0,55,110,88
11107887,APHB Colony B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,48,3089,0,564,0,0,0,3653,12300
11107887,APHB Colony B.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,65,0,12,0,0,0,77,550
11660555,APIIIT S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,17,627,0,112,0,0,70,739,2050
11661207,APSP Camp S.O (East Godavari),2026-06-01T00:00:00+05:30,Indiapost parcel Retail,2,296,0,54,0,0,0,350,7390
11661207,APSP Camp S.O (East Godavari),2026-06-01T00:00:00+05:30,Inland Speed Post Document,24,1085,110,191.88,0,10,255,1101.88,954
11661207,APSP Camp S.O (East Godavari),2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,5,680,0,122,0,0,0,802,10700
11660995,APUHS SO,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,2,0,0,0,0,90,0,0,390
11660995,APUHS SO,2026-06-01T00:00:00+05:30,Inland Speed Post Document,10,306,0,54,0,0,106,360,225
11660995,APUHS SO,2026-06-01T00:00:00+05:30,International Speed Post Document,1,1820,0,328,0,0,0,2148,65
11660995,APUHS SO,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,80,0,14,0,0,0,94,440
11108222,AS Kaviti BO,2026-06-01T00:00:00+05:30,Inland Speed Post Document,9,676,0,118,0,0,0,794,2340
11660631,Abbineniguntapalem S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,30
11101968,Abdullapuram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,34,0,6,0,0,0,40,10
11103400,Achavaram B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,120
11101179,Adadakulapalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11106637,Adakula B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,110,0,20,0,0,0,130,101
11105740,Adavinekkalam B.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,6,312,0,60,0,0,0,372,4840
11105740,Adavinekkalam B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,188,0,32,0,0,0,220,650
11102971,Adavipalem B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,3,0,0,0,0,225,0,0,30
11660833,Addanki S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,15,844,0,150,0,0,0,994,12609
11660833,Addanki S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,8,240,60,44,0,0,0,284,90
11660833,Addanki S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,9,855,0,154,0,0,0,1009,11615
11661203,Addatigala S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,1,361,5,64,0,0,0,425,10430
11661203,Addatigala S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,9,516,60,94,0,10,0,600,905
11661203,Addatigala S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,8,840,0,150,0,0,0,990,10453
11661295,Adikavi Nannayya University Campus S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,6,294,0,52,0,5,0,341,182
11102580,Adivikodiyambedu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,35
11660222,Adoni Arts College S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,5,150,20,28,0,195,0,178,775
11660222,Adoni Arts College S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,90,0,16,0,0,0,106,550
11360009,Adoni H.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,2,349,5,62,0,0,0,411,8854
11360009,Adoni H.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,113,2452,766,437.05,0,3660,0,2694.05,4751
11360009,Adoni H.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,45,3510,0,632,0,356,0,4142,61424
11660223,Adoni town S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,57,110,10,0,568,0,67,330
11106642,Aduguluputtu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,19,0,4,0,0,0,23,20
11103615,Adurupalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,616,0,118,0,25,0,709,165
11660330,Agadur S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,0,0,0,0,0,0,0,35
11660169,Agali S.O (Ananthapur),2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,0,0,0,0,0,0,0,68
11660169,Agali S.O (Ananthapur),2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,3,210,0,38,0,0,0,248,2790
11661424,Aganampudi S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,11,356,0,62,0,55,0,418,582
11661424,Aganampudi S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,2,240,0,44,0,0,0,284,2460
11101596,Agaveli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,24,0,4,0,0,0,28,10
11106441,Ainavalli B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,30
11660721,Ainavole S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,15
11660721,Ainavole S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,1,50,0,10,0,0,0,60,378
11103913,Ainavolu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,2,94,0,16,0,10,0,100,40
11106024,Akaveedu B.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,4,188,0,32,0,0,0,220,110
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Indiapost parcel Retail,16,1350,22,244,0,0,0,1594,27995
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Inland Speed Post Document,13,720,60,130,0,0,0,850,419
11660449,Akividu S.O,2026-06-01T00:00:00+05:30,Speed Post Parcel Domestic,10,960,0,172,0,0,0,1132,13413
