Office ID,Office Name,Booking Date,Product Name,Walk-in Customer,Registered Bulk,On Postal Service,Govt Service,Walk-in Non-Commercial,Non-Commercial,Commercial,E-commerce,PIDPI,Student Mail,Others,Walk-in Commercial,Walk-in E-commerce,Bulk Non-Commercial,Bulk Commercial,Bulk E-commerce,BO Rebooking,Free Active Service,Inter FPO
-,Summary (All Offices),-,All Products,716447,319339,85361,233,903,37327,3401,36,3,17,216,0,0,54,0,0,0,0,0
11660628,A.P.High Court S.O,01-05-2026,All Products,24,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0
11360001,Anantapur H.O,01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11260001,Anantapur RMS  BOOKING Office,01-05-2026,All Products,61,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660284,Atmakur S.O,01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11660638,Chandramoulinagar S.O,01-05-2026,All Products,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11660728,Chilakaluripet S.O,01-05-2026,All Products,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
11360003,Chittoor H.O,01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11260002,Cuddapah RMS  BOOKING Office,01-05-2026,All Products,44,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260018,Eluru RMS Counter,01-05-2026,All Products,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661438,Gajuwaka S.O,01-05-2026,All Products,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11260003,Guntakal  RMS Booking Office,01-05-2026,All Products,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11630021,Guntur RMS  L2U,01-05-2026,All Products,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11661376,Hiramandalam S.O,01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11660132,Jayanagar S.O (Cuddapah),01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11660250,KNL camp B S.O,01-05-2026,All Products,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11360010,Kurnool H.O,01-05-2026,All Products,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
11260004,Kurnool RMS  BOOKING Office,01-05-2026,All Products,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260005,MBC Nellore RMS,01-05-2026,All Products,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260006,MBC Tirupati RMS,01-05-2026,All Products,88,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260007,MBC Tirupati RMS -2,01-05-2026,All Products,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11660742,Macherla S.O,01-05-2026,All Products,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
