office-id,office-name,booking-date,product-name,article-count,postage,vas,tax,fm-charges,ps-charges,ss-charges,total_amount,avg-weight
11660628,A.P.High Court S.O,2026-05-01T00:00:00+05:30,Inland Speed Post Document,39,2103,240,372,0,0,0,2475,1590
11660628,A.P.High Court S.O,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,1,270,0,48,0,0,0,318,3960
11360001,Anantapur H.O,2026-05-01T00:00:00+05:30,Inland Speed Post Document,1,47,0,8,0,0,0,55,11
11260001,Anantapur RMS  BOOKING Office,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,36,2373,5,426,0,0,0,2799,43826
11260001,Anantapur RMS  BOOKING Office,2026-05-01T00:00:00+05:30,Inland Speed Post Document,55,2412,160,432.84,0,0,1091,2239.84,1921
11260001,Anantapur RMS  BOOKING Office,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,3,410,0,74,0,0,0,484,3884
11660284,Atmakur S.O,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,1,70,18,12,0,0,0,82,600
11660638,Chandramoulinagar S.O,2026-05-01T00:00:00+05:30,Inland Speed Post Document,1,75,50,14,0,0,0,89,400
11660728,Chilakaluripet S.O,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,5,358,50,68,0,0,0,426,4786
11360003,Chittoor H.O,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,1,60,0,10,0,0,0,70,328
11260002,Cuddapah RMS  BOOKING Office,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,10,497,5,90,0,0,156,587,10215
11260002,Cuddapah RMS  BOOKING Office,2026-05-01T00:00:00+05:30,Inland Speed Post Document,37,960,40,174,0,141,916,1013,2575
11260002,Cuddapah RMS  BOOKING Office,2026-05-01T00:00:00+05:30,International Registered Letter,1,220,0,40,0,0,0,260,30
11260018,Eluru RMS Counter,2026-05-01T00:00:00+05:30,Inland Speed Post Document,9,276,70,50,0,170,0,326,183
11260018,Eluru RMS Counter,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,1,95,0,18,0,113,0,0,1570
11661438,Gajuwaka S.O,2026-05-01T00:00:00+05:30,Inland Speed Post Document,2,86,20,16,0,0,0,102,35
11260003,Guntakal  RMS Booking Office,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,1,329,5,60,0,0,0,389,9150
11260003,Guntakal  RMS Booking Office,2026-05-01T00:00:00+05:30,Inland Speed Post Document,27,501,70,88,0,0,0,589,382
11630021,Guntur RMS  L2U,2026-05-01T00:00:00+05:30,Indiapost parcel Retail,7,1026,10,184,0,0,62,1210,27235
11630021,Guntur RMS  L2U,2026-05-01T00:00:00+05:30,Inland Speed Post Document,178,9451,1360,1696,0,0,172,11147,5110
11630021,Guntur RMS  L2U,2026-05-01T00:00:00+05:30,Speed Post Parcel Domestic,2,155,0,28,0,0,0,183,1355
