office_id,office_name,mail_type_code,booking_date, total_articles , base_amount , reg_fee , pod_ack_charge , insurance_value , insurance_charge , cod_value , cod_charge , vp_value , vp_charge , cgst , sgst , otp_charge , pickup_charge , ams_charge , premailing_charge , door_delivery_charge , export_duty_inr , export_duty_usd , ddd_charge , student_discount , igst , utgst , total_amount 
11300001,Andhra Pradesh Circle,All Mail Types,01-04-2026," 58,862 "," 37,42,092 "," 19,200 "," 1,39,980 "," 4,09,900 "," 14,046 "," 17,28,946 "," 4,109 ", -   , -   ," 3,33,482 "," 3,33,482 "," 1,075 ", -   , -   , -   ," 1,590 ", -   , -   , -   , -   ," 4,997 ", -   ," 36,90,665 "
11300001,Andhra Pradesh Circle,All Mail Types,02-04-2026," 57,251 "," 52,85,078 "," 16,670 "," 1,31,760 "," 1,69,750 "," 4,322 "," 11,59,865 "," 3,244 ", -   , -   ," 4,71,917 "," 4,71,917 ", 630 , 100 , -   , -   ," 1,150 ", -   , -   , -   , -   ," 5,931 ", -   ," 56,09,033 "
11300001,Andhra Pradesh Circle,All Mail Types,03-04-2026," 1,429 "," 86,096 ", 55 ," 4,100 ", -   , -   ," 1,24,548 ", -   , -   , -   ," 6,956 "," 6,956 ", 40 , -   , -   , -   , 40 , -   , -   , -   , -   ," 1,542 ", -   ," 81,664 "
11300001,Andhra Pradesh Circle,All Mail Types,04-04-2026," 44,372 "," 30,88,577 "," 12,375 "," 93,990 "," 48,501 "," 2,101 "," 15,00,696 "," 5,948 ", -   , -   ," 2,75,411 "," 2,75,411 ", 305 , -   , -   , -   ," 1,400 ", -   , -   , -   , -   ," 4,049 ", -   ," 32,79,813 "
11300001,Andhra Pradesh Circle,All Mail Types,05-04-2026, 669 ," 43,749 ", -   ," 2,450 ", -   , -   ," 15,456 ", -   , -   , -   ," 3,422 "," 3,422 ", -   , -   , -   , -   , 40 , -   , -   , -   , -   ," 1,027 ", -   ," 48,923 "
11300001,Andhra Pradesh Circle,All Mail Types,06-04-2026," 43,693 "," 24,48,708 "," 13,130 "," 95,480 "," 97,200 "," 4,040 "," 11,28,576 "," 4,037 ", -   , -   ," 2,17,324 "," 2,17,324 "," 2,180 ", -   , -   , -   ," 1,350 "," 1,640 ", -   , -   , -   ," 4,715 ", -   ," 24,90,527 "
11300001,Andhra Pradesh Circle,All Mail Types,07-04-2026," 52,711 "," 27,45,742 "," 20,655 "," 1,18,480 "," 38,302 "," 1,483 "," 10,34,846 "," 2,403 ", -   , -   ," 2,44,864 "," 2,44,864 ", 800 , -   , -   , -   ," 1,270 ", -   , -   , -   , -   ," 3,248 ", -   ," 27,02,216 "
11300001,Andhra Pradesh Circle,All Mail Types,08-04-2026," 49,801 "," 25,53,149 "," 17,785 "," 1,25,140 "," 63,900 "," 2,317 "," 9,59,247 ", 883 , -   , -   ," 2,26,300 "," 2,26,300 ", 780 , -   , -   , -   ," 1,125 "," 5,970 ", -   , -   , -   ," 5,896 ", -   ," 24,85,848 "
11300001,Andhra Pradesh Circle,All Mail Types,09-04-2026," 50,926 "," 31,32,746 "," 19,890 "," 1,18,590 "," 2,90,902 "," 9,488 "," 7,86,039 "," 2,743 ", -   , -   ," 2,79,969 "," 2,79,969 ", 345 , -   , 110 , -   ," 1,110 ", -   , -   , -   , -   ," 2,886 ", -   ," 31,78,004 "
11300001,Andhra Pradesh Circle,All Mail Types,10-04-2026," 46,653 "," 24,07,008 "," 22,035 "," 1,16,370 "," 80,100 "," 3,728 "," 8,29,285 "," 2,302 ", -   , -   ," 2,14,178 "," 2,14,178 ", 150 , -   , 41 , -   ," 1,115 ", -   , -   , -   , 5 ," 4,143 ", -   ," 22,96,507 "
11300001,Andhra Pradesh Circle,All Mail Types,11-04-2026," 30,262 "," 16,19,552 "," 11,420 "," 69,420 "," 5,51,000 "," 2,412 "," 8,31,185 "," 3,641 ", -   , -   ," 1,42,391 "," 1,42,391 ", 885 , -   , -   , -   ," 1,070 ", 149 , -   , -   , -   ," 6,522 ", -   ," 16,78,737 "
11300001,Andhra Pradesh Circle,All Mail Types,12-04-2026, 903 ," 83,972 ", 265 ," 1,970 "," 32,700 ", 612 ," 50,426 ", -   , -   , -   ," 4,650 "," 4,650 ", 10 , -   , -   , -   , 25 , -   , -   , -   , -   ," 5,777 ", -   ," 93,435 "
11300001,Andhra Pradesh Circle,All Mail Types,13-04-2026," 45,088 "," 29,07,031 "," 20,850 "," 1,06,460 "," 5,98,303 "," 10,955 "," 12,21,248 "," 5,485 ", -   , -   ," 2,51,102 "," 2,51,102 ", 235 , -   , -   , -   ," 1,550 ", -   , -   , -   , -   ," 19,952 ", -   ," 30,51,297 "
11300001,Andhra Pradesh Circle,All Mail Types,14-04-2026," 1,747 "," 1,37,251 ", 170 ," 2,730 ", -   , -   ," 79,637 ", -   , -   , -   ," 4,405 "," 4,405 ", 5 , -   , -   , -   , 30 , -   , -   , -   , -   ," 15,864 ", -   ," 1,56,747 "
11300001,Andhra Pradesh Circle,All Mail Types,15-04-2026," 50,485 "," 28,91,028 "," 16,895 "," 1,21,370 "," 2,42,300 "," 4,214 "," 17,41,636 "," 4,316 ", -   , -   ," 2,47,015 "," 2,47,015 ", 410 , -   , -   , -   ," 1,720 ", -   , -   , -   , 7 ," 24,876 ", -   ," 29,92,218 "
11300001,Andhra Pradesh Circle,All Mail Types,16-04-2026," 53,195 "," 31,49,011 "," 17,175 "," 1,21,760 "," 3,93,910 "," 18,050 "," 9,78,619 "," 2,875 ", -   , -   ," 2,65,490 "," 2,65,490 ", 460 , -   , -   , -   ," 1,355 ", -   , -   , -   , -   ," 34,564 ", -   ," 31,76,715 "
11300001,Andhra Pradesh Circle,All Mail Types,17-04-2026," 50,540 "," 25,55,043 "," 15,430 "," 1,25,300 "," 1,20,700 "," 3,916 "," 10,02,049 ", 895 , -   , -   ," 2,15,790 "," 2,15,790 "," 1,075 ", 50 , -   , -   ," 1,080 ", -   , -   , -   , -   ," 27,184 ", -   ," 24,01,257 "
11300001,Andhra Pradesh Circle,All Mail Types,18-04-2026," 53,544 "," 32,55,884 "," 17,750 "," 1,12,820 "," 64,923 "," 3,060 "," 14,73,307 "," 3,470 ", -   , -   ," 2,71,414 "," 2,71,414 ", 170 , -   , -   , -   ," 1,135 ", -   , -   , -   , -   ," 42,579 ", -   ," 33,42,816 "
11300001,Andhra Pradesh Circle,All Mail Types,19-04-2026," 4,777 "," 2,85,873 ", 55 ," 1,450 ", -   , -   ," 1,90,560 ", -   , -   , -   ," 16,856 "," 16,856 ", -   , -   , -   , -   , 10 , -   , -   , -   , -   ," 17,721 ", -   ," 3,35,367 "
11300001,Andhra Pradesh Circle,All Mail Types,20-04-2026," 42,711 "," 23,74,965 "," 24,500 "," 1,12,360 "," 59,301 "," 1,668 "," 14,78,737 ", 965 , -   , -   ," 2,01,511 "," 2,01,511 ", 410 , -   , 4 , -   ," 1,220 "," 1,000 ", -   , -   , -   ," 23,341 ", -   ," 23,99,968 "
11300001,Andhra Pradesh Circle,All Mail Types,21-04-2026," 57,991 "," 34,38,834 "," 27,280 "," 1,37,640 "," 1,36,700 "," 5,263 "," 18,63,200 "," 6,511 ", -   , -   ," 2,93,689 "," 2,93,689 ", 570 , -   , -   , -   ," 1,315 ", -   , -   , -   , -   ," 30,479 ", -   ," 34,88,845 "
11300001,Andhra Pradesh Circle,All Mail Types,22-04-2026," 50,425 "," 26,34,980 "," 20,480 "," 1,31,760 "," 2,11,300 "," 3,980 "," 12,86,152 "," 2,943 ", -   , -   ," 2,17,186 "," 2,17,186 ", 120 , -   , -   , -   ," 1,120 ", -   , -   , -   , -   ," 38,797 ", -   ," 25,41,537 "
